PUID,sg,trawl,sewage,farms,settle
376,0,0,0,0,203
377,0.05,0,0,0,203
378,0.05,1,0,0,203
379,0.05,1,0,0,40.2834598
380,0.05,1,0,0,6.36341252
381,0.05,1,0,0,3.317869371
382,0.05,1,0,0,5.580782386
383,0,0,0,0,3.320059006
384,0.05,0,0,0,7.037456347
385,0.05,0,0,0,9.71339441
386,0.05,0,0,0,8.955306412
387,0.05,0,0,0,0.131635791
388,0,0,0,0,0.001573314
389,0,4,0,0,4.42E-06
390,0.05,0,0,0,2.19E-09
391,0.15,0,0,0,4.83E-05
392,0.35,0,0,0,1.064730903
393,0.15,0,0,0,471
394,0,0,0,0,471
395,0.05,0,0,0,2.07E-09
396,0.15,0,0,0,4.40E-05
397,0.35,0,0,0,0.833518865
398,0.15,0,0,0,145.5549468
399,0,0,0,0,327
400,0,0,0,0,327
401,0,0,0,0,209
402,0.05,0,0,0,203.426727
403,0,10,0,0,0.078116322
404,0,18,0,0,0.061535302
405,0,10,0,0,2.424775028
406,0.05,7,0,0,203
407,0,0,0,0,203
408,0,0,0,0,203
409,0,12,0,0,0.1469929
410,0,0,0,0,8.36E-13
411,0.05,0,0,0,8.41E-10
412,0.05,0,0,0,7.34E-08
413,0.05,0,0,0,0.000380893
414,0.35,0,0,0,1.77949185
415,0.05,0,0,0,327
416,0,0,0,0,197
417,0,0,0,0,635
418,0,0,0,0,83
419,0,0,0,0,150
420,0,0,0,0,150
421,0.05,0,0,0,447
422,0.05,0,0,0,305.2886185
423,0,0,0,0,45.72565846
424,0,0,0,0,2.027366367
425,0,0,0,0,2.017522007
426,0,0,0,0,0.015519312
427,0,6,0,0,0.019382729
428,0,0,0,0,0.325293618
429,0.15,0,0,0,13.82024842
430,0.15,0,0,0,617
431,0.05,0,0,0,617
432,0,0,0,0,261
433,0,0,0,0,261
434,0.05,1,0,0,261
435,0,3,0,0,138.4271476
436,0,6,0,0,0.418526994
437,0,0,0,0,2.49486271
438,0.05,1,0,0,1.65E-13
439,0.05,0,0,0,5.66E-10
440,0.05,0,0,0,1.29E-06
441,0.05,0,0,0,0.004541661
442,0,0,0,0,4.561311319
443,0,0,0,0,197
444,0,0,0,0,635
445,0.15,0,0,0,635
446,0,0,0,1,83
447,0.05,0,0,0,42.10129953
448,0,0,0,0,3.341872552
449,0,0,0,0,0.155850054
450,0,0,0,0,0.035764206
451,0,0,0,0,0.017412056
452,0,0,0,0,1.274811794
453,0,0,0,0,2.847141813
454,0,0,0,0,2.257742367
455,0,8,0,0,6.573033901
456,0,0,0,0,116.820788
457,0.15,0,0,0,237
458,0.05,0,0,0,431
459,0.05,0,0,0,617
460,0,0,0,0,66
